251,"ECONET",23,"NC","Haywood ","Frying Pan Mountain",35.39,-82.77,1621.54
253,"ECONET",25,"NC","Wayne ","Goldsboro",35.38,-78.04,24.08
255,"ECONET",27,"NC","Guilford ","Greensboro",36.07,-79.73,241.4
257,"ECONET",29,"NC","Richmond ","Hamlet",34.84,-79.74,102.41
259,"ECONET",31,"NC","Henderson ","Hendersonville",35.46,-82.36,1285.95
261,"ECONET",33,"NC","Guilford ","High Point",35.99,-79.97,277.37
263,"ECONET",35,"NC","Montgomery ","Jackson Springs",35.19,-79.68,190.5
265,"ECONET",37,"NC","Lenoir ","Kinston",35.3,-77.57,28.96
267,"ECONET",39,"NC","Ashe ","Laurel Springs",36.4,-81.3,917.14
269,"ECONET",41,"NC","Bertie ","Lewiston",36.13,-77.18,18.59
271,"ECONET",43,"NC","Anson ","Lilesville",34.97,-79.92,138.99
273,"ECONET",45,"NC","Yancey ","Mount Mitchell",35.76,-82.27,1889.76
275,"ECONET",47,"NC","Stanly ","New London",35.41,-80.24,178.31
277,"ECONET",49,"NC","Granville ","Oxford",36.3,-78.62,152.4
279,"ECONET",51,"NC","Washington ","Plymouth",35.85,-76.65,6.1
281,"ECONET",53,"NC","Wake ","Raleigh",35.73,-78.68,116.43
283,"ECONET",55,"NC","Wake ","Raleigh",35.81,-78.74,128.02
285,"ECONET",57,"NC","Rockingham ","Reidsville",36.38,-79.7,261.52
287,"ECONET",59,"NC","Edgecombe ","Rocky Mount",35.89,-77.68,26.82
289,"ECONET",61,"NC","Rowan ","Salisbury",35.7,-80.62,214.27
291,"ECONET",63,"NC","Chatham ","Siler City",35.7,-79.5,187.15
293,"ECONET",65,"NC","Alexander ","Taylorsville",35.91,-81.19,355.7
295,"ECONET",67,"NC","Duplin ","Wallace",34.77,-78.1,17.07
297,"ECONET",69,"NC","Haywood ","Waynesville",35.49,-82.97,839.72
299,"ECONET",71,"NC","Columbus ","Whiteville",34.41,-78.79,27.13
301,"ECONET",73,"NC","Martin ","Williamston",35.84,-77.09,21.95
303,"COOP",11694,"AL","TALLAPOOSA","CLANTON",32.82,-86.65,185.93
305,"COOP",10583,"AL","COFFEE|COVINGTON|GENEVA","BAY MINETTE 3 NNW",30.88,-87.78,82.6
307,"COOP",12730,"AL","CALHOUN|CHEROKEE","EUFAULA WILDLIFE REF",32,-85.08,70.1
309,"COOP",18380,"AL","MONROE","TUSCALOOSA MUNICIPAL AP",33.23,-87.62,51.21
311,"COOP",16121,"AL","TUSCALOOSA","ONEONTA",33.93,-86.47,271.88
313,"COOP",18438,"AL","BALDWIN","UNION SPRINGS 9 S",32,-85.73,134.11
315,"COOP",13519,"AL","LAUDERDALE|LIMESTONE","GREENVILLE",31.78,-86.6,104.24
317,"COOP",10272,"AL","JEFFERSON","ANNISTON METROPOLITAN AP",33.58,-85.85,181.05
319,"COOP",14502,"AL","ESCAMBIA","LAFAYETTE 2 W",32.9,-85.43,225.55
321,"COOP",12245,"AL","WASHINGTON","DEMOPOLIS LOCK AND DAM",32.52,-87.87,30.48
323,"COOP",18178,"AL","AUTAUGA|CHILTON","THOMASVILLE",31.92,-87.73,118.87
325,"COOP",13775,"AL","CHOCTAW|MARENGO","HEFLIN",33.63,-85.6,259.08
